id_match,gols,assist
CA1,Matheus França,Thiaguinho
CA2,Pedro,Ayrton Lucas
CA2,Gabi,Pedro
CA2,Fabrício Bruno,Pedro
CA2,Thiago Maia,Matheuzinho
CA4,Pedro,Matheuzinho
CA4,Fabrício Bruno,Everton Cebolinha
CA4,Gabi,Matheuzinho
CA4,Gabi,Filipe Luis
CA4,Pedro,Arrascaeta
CA4,Lorran,Mateusão
SC1,Gabi,NaN
SC1,Gabi,Everton Ribeiro
SC1,Pedro,Ayrton Lucas
CA6,Pedro,Gabi
CW1,Pedro,Matheuzinho
CW1,Pedro,NaN
CW2,Gabi,NaN
CW2,Pedro,NaN
CW2,Gabi,NaN
CW2,Pedro,NaN
CA7,Gabi,Everton Ribeiro
CA7,Gabi,Arrascaeta
CA7,Pedro,Everton Cebolinha
CA8,Matheus Gonçalves,Marinho
CA8,André Luiz,Mateusão
CA9,Matheus Gonçalves,NaN
RE2,Arrascaeta,Everton Cebolinha
CA11,Everton Cebolinha,Gerson
CA12,Arrascaeta,NaN
CA12,Pedro,NaN
CA12,Fabrício Bruno,Arrascaeta
CA13,Pedro,NaN
CA13,Pedro,NaN
CA13,Ayrton Lucas,Pedro
CA14,Ayrton Lucas,Everton Cebolinha
CA14,Pedro,Ayrton Lucas
LIB1,Matheus França,Pablo
CA15,Ayrton Lucas,NaN
BR1,Ayrton Lucas,Gerson
BR1,Gabi,NaN
BR1,Pedro,Victor Hugo
LIB2,Pedro,Marinho
LIB2,Pedro,Marinho
BR2,Gerson,NaN
CB2,Thiago Maia,NaN
CB2,Pedro,Everton Cebolinha
CB2,Gabi,NaN
CB2,Gerson,Ayrton Lucas
CB2,Everton Cebolinha,Gabi
CB2,Pedro,Gerson
CB2,Pedro,Arturo Vidal
CB2,Pedro,Arturo Vidal
BR3,Léo Pereira,Fabricio Bruno
BR3,Léo Pereira,Everton Ribeiro
LIB3,Gabi,Eric Pulgar
BR4,Gabi,NaN
BR5,Pedro,NaN
BR5,Everton Ribeiro,Everton Cebolinha
BR6,Matheus França,David Luiz
BR6,Gabi,NaN
BR6,David Luiz,Everton Cebolinha
BR7,Léo Pereira,Everton Cebolinha
LIB4,Gabi,NaN
BR8,Ayrton Lucas,Wesley
CB4,Arrascaeta,Fabricio Bruno
CB4,Gabi,NaN
