id_match,gols,assist
CA1,Matheus França,Thiaguinho
CA2,Pedro,Ayrton Lucas
CA2,Gabi,Pedro
CA2,Fabrício Bruno,Pedro
CA2,Thiago Maia,Matheuzinho
CA4,Pedro,Matheuzinho
CA4,Fabrício Bruno,Everton Cebolinha
CA4,Gabi,Matheuzinho
CA4,Gabi,Filipe Luis
CA4,Pedro,Arrascaeta
CA4,Lorran,Mateusão
SC1,Gabi,NaN
SC1,Gabi,Everton Ribeiro
SC1,Pedro,Ayrton Lucas
CA6,Pedro,Gabi
CW1,Pedro,Matheuzinho
CW1,Pedro,NaN
CW2,Gabi,NaN
CW2,Pedro,NaN
CW2,Gabi,NaN
CW2,Pedro,NaN
CA7,Gabi,Everton Ribeiro
CA7,Gabi,Arrascaeta
CA7,Pedro,Everton Cebolinha
CA8,Matheus Gonçalves,Marinho
CA8,André Luiz,Mateusão
CA9,Matheus Gonçalves,NaN
RE2,Arrascaeta,Everton Cebolinha
CA11,Everton Cebolinha,Gerson
CA12,Arrascaeta,NaN
CA12,Pedro,NaN
CA12,Fabrício Bruno,Arrascaeta
CA13,Pedro,NaN
CA13,Pedro,NaN
CA13,Ayrton Lucas,Pedro
CA14,Ayrton Lucas,Everton Cebolinha
CA14,Pedro,Ayrton Lucas
LIB1,Matheus França,Pablo
CA15,Ayrton Lucas,NaN
BR1,Ayrton Lucas,Gerson
BR1,Gabi,NaN
BR1,Pedro,Victor Hugo
LIB2,Pedro,Marinho
LIB2,Pedro,Marinho
